,Features,Importances
2827,PF3D7_1022300,0.0005421254781368887
4488,PF3D7_1346100,0.0005416926671890969
1582,PF3D7_0631200,0.0005411152969205475
1853,PF3D7_0727700,0.0005382288189732608
5514,PF3D7_1477400,0.0005371907066345822
131,PF3D7_0103800,0.0005333519973248668
3285,PF3D7_1129300,0.0005291442730886339
242,PF3D7_0115700,0.0005283590769372816
3078,PF3D7_1108400,0.0005282188786684402
4610,PF3D7_1358600,0.0005278255473349234
2878,PF3D7_1027500,0.0005274477895764405
850,PF3D7_0415200,0.000525483150810105
1455,PF3D7_0618400,0.000524374556158264
3253,PF3D7_1126000,0.0005177054651957547
1202,PF3D7_0525100,0.0005172846027175749
2699,PF3D7_1009500,0.0005167231595946486
2666,PF3D7_1006100,0.0005167049313621391
367,PF3D7_0212700,0.0005160966967174316
5377,PF3D7_1463700,0.0005153795242233747
3409,PF3D7_1141700,0.0005142447937222128
831,PF3D7_0413300,0.0005125375820999214
3956,PF3D7_1247200,0.0005117140736286259
3047,PF3D7_1105300,0.0005115875462403115
42,MAL14.2686297.2686383.bcgk,0.00051144224016703
5496,PF3D7_1475600,0.0005113257001808413
1210,PF3D7_0525900,0.0005106351236978227
2867,PF3D7_1026300,0.0005046292246941118
5101,PF3D7_1436100,0.0005042842880318854
5306,PF3D7_1456600,0.0005037248390571907
3381,PF3D7_1138900,0.0005036427499612932
1928,PF3D7_0802700,0.0005011312244354949
1153,PF3D7_0520200,0.0004990627265598184
3236,PF3D7_1124300,0.0004975932846448251
451,PF3D7_0221100,0.0004973254550887468
5464,PF3D7_1472400,0.0004962321895566048
2194,PF3D7_0829800,0.0004954702602318473
2860,PF3D7_1025600,0.0004948118082868684
4770,PF3D7_1402400,0.0004937350512391169
1062,PF3D7_0511100,0.0004934336934156311
213,PF3D7_0112200,0.0004920489577641673
3224,PF3D7_1123100,0.000491908139611011
1029,PF3D7_0507700,0.000491417650358399
4516,PF3D7_1348900,0.0004900272521239485
727,PF3D7_0402000,0.0004896246628353964
3148,PF3D7_1115500,0.0004883347940727666
5215,PF3D7_1447500,0.0004868665076660577
2693,PF3D7_1008900,0.00048562101026639314
4783,PF3D7_1403700,0.0004835211691812463
4313,PF3D7_1328400,0.0004824110625295455
4856,PF3D7_1410900,0.0004805879348765729
1626,PF3D7_0703800,0.0004798685380143796
3732,PF3D7_1224300,0.00047966001813937615
3341,PF3D7_1134900,0.000477279021749378
1671,PF3D7_0708600,0.000476920000892923
4676,PF3D7_1365300,0.00047478927022158554
5263,PF3D7_1452300,0.0004744148239194711
5517,PF3D7_1477700,0.00047397192048451056
952,PF3D7_0425800,0.000473287725055153
2599,PF3D7_0937200,0.00047226925915497215
2237,PF3D7_0900800,0.0004707359082952254
39,MAL14.133308.133411.bcgk.v,0.0004684882608466304
2620,PF3D7_1001500,0.00046759673632056027
1716,PF3D7_0713500,0.0004675075382667918
1896,PF3D7_0732300,0.00046572826671171396
3101,PF3D7_1110700,0.0004646931683428418
1288,PF3D7_0601800,0.00046413306833258794
4870,PF3D7_1412300,0.00046376055042993424
3992,PF3D7_1250800,0.0004636867997640302
254,PF3D7_0201300,0.0004630744357548168
2993,PF3D7_1039200,0.0004625332643401346
3510,PF3D7_1201800,0.0004601827495367982
3850,PF3D7_1236300,0.000459921142715132
608,PF3D7_0314300,0.00045971932826294865
879,PF3D7_0418100,0.0004591986665086059
897,PF3D7_0419900,0.00045868423857895244
136,PF3D7_0104300,0.00045432849955046826
578,PF3D7_0311100,0.00045386419908295856
3369,PF3D7_1137700,0.0004532198415193336
4023,PF3D7_1254200,0.00045196499187731277
621,PF3D7_0315600,0.0004490543640332616
1823,PF3D7_0724300,0.00044834174300150325
4663,PF3D7_1364000,0.0004481989540644692
428,PF3D7_0218800,0.0004480502174905227
1508,PF3D7_0623700,0.0004458869593512613
2706,PF3D7_1010200,0.00044447892988245315
5004,PF3D7_1426500,0.00044425987339271147
5455,PF3D7_1471500,0.0004432615484512748
3318,PF3D7_1132600,0.00044296755585816966
3779,PF3D7_1229000,0.00044205537529072537
4256,PF3D7_1322700,0.0004399865154141572
43,MAL14.46658.46769.....rv..,0.0004397998784165011
3662,PF3D7_1217300,0.0004385696495089582
4695,PF3D7_1367200,0.0004379475270489054
807,PF3D7_0410300,0.0004377531651741434
4924,PF3D7_1417700,0.00043589166644466285
3158,PF3D7_1116500,0.00043488344113619095
5229,PF3D7_1448900,0.0004348828282142315
1023,PF3D7_0507100,0.00043458415172825573
2900,PF3D7_1029700,0.00043312658211454405
4597,PF3D7_1357300,0.00043304217779514305
4280,PF3D7_1325100,0.00043279561978189175
1746,PF3D7_0716600,0.000432428967782864
2894,PF3D7_1029100.1,0.0004322744347029157
91,MAL9.1260227.1260490.bc.kr,0.0004298689593158985
699,PF3D7_0323400,0.0004293555654341363
4594,PF3D7_1356800,0.0004285542186033134
4591,PF3D7_1356500,0.00042579910190281814
3421,PF3D7_1142900,0.00042449402550784375
2046,PF3D7_0814900,0.0004242198005365121
2345,PF3D7_0911700,0.0004240919964507885
794,PF3D7_0409000,0.00042396402026413193
1713,PF3D7_0713200,0.00042347871341099963
2396,PF3D7_0916900,0.0004234375490914101
1437,PF3D7_0616600,0.0004233857491384351
3205,PF3D7_1121200,0.0004229495265777453
3267,PF3D7_1127400,0.0004229377682711981
816,PF3D7_0411200,0.00042272981500490747
928,PF3D7_0423300,0.0004225905560420895
5006,PF3D7_1426700,0.00042179283937981293
4745,PF3D7_1373300,0.00042156295878255525
1847,PF3D7_0727100,0.00042076217811840813
2890,PF3D7_1028700,0.0004206300012865181
228,PF3D7_0114000,0.00041846819330700367
1519,PF3D7_0624800,0.00041761180168222096
1189,PF3D7_0523800,0.0004174545243109159
1275,PF3D7_0532800,0.0004152365742200734
571,PF3D7_0310500,0.0004136900269064893
1797,PF3D7_0721700,0.0004104572487237408
2107,PF3D7_0821100,0.00041037856975441843
251,PF3D7_0201000,0.00041023846414287344
835,PF3D7_0413700,0.0004093304489676436
2774,PF3D7_1017000,0.00040923791247266943
5092,PF3D7_1435200,0.00040922337941540026
2390,PF3D7_0916300,0.00040913883449212663
300,PF3D7_0205900,0.0004089537625185751
1026,PF3D7_0507400,0.00040887214412208526
1419,PF3D7_0614800,0.0004074970578308513
4338,PF3D7_1330900,0.000407287779495638
149,PF3D7_0105600,0.0004070859341314897
3310,PF3D7_1131800,0.00040607833670675263
266,PF3D7_0202500,0.0004057342121231334
2217,PF3D7_0832200.1,0.0004052828825015612
3812,PF3D7_1232400,0.00040502602694167085
2920,PF3D7_1031700,0.0004047092389848005
2725,PF3D7_1012100,0.0004042603625845416
4399,PF3D7_1337100,0.0004038228340036441
4629,PF3D7_1360500,0.00040380905261507694
4276,PF3D7_1324700,0.00040351244891792125
3570,PF3D7_1207900,0.0004029872201397676
1599,PF3D7_0700600,0.0004029488412167806
2349,PF3D7_0912100,0.00040192990812123184
3994,PF3D7_1251000,0.00040106684606560635
1550,PF3D7_0627800,0.0004003582307225138
4359,PF3D7_1333000,0.000399743913570964
2084,PF3D7_0818800,0.0003995086057826718
736,PF3D7_0403100,0.00039943097574748513
2922,PF3D7_1031900,0.00039910561038169925
2845,PF3D7_1024100,0.00039849350915851617
2929,PF3D7_1032600,0.0003974702178207854
3393,PF3D7_1140100,0.00039726177514749333
3990,PF3D7_1250600,0.0003969862657227029
2239,PF3D7_0901000,0.0003968309602833391
1517,PF3D7_0624600,0.00039565641050881887
69,MAL7.1445501.1445724.bc..r,0.0003955431925822342
1206,PF3D7_0525500,0.0003949439935803457
1816,PF3D7_0723600,0.00039403756927812987
6,MAL10.258733.258825.b...r..,0.0003930703857968026
2342,PF3D7_0911400,0.00039269806214117103
3456,PF3D7_1146500,0.0003924964174769262
62,MAL5.605599.605744.....rv.,0.0003905934736094676
4865,PF3D7_1411800,0.0003902636288584131
3799,PF3D7_1231000,0.00039008982895484404
2789,PF3D7_1018500,0.0003899883503215292
5151,PF3D7_1441100,0.00038977055659995564
2824,PF3D7_1022000,0.0003874433669215072
567,PF3D7_0310100,0.0003870166595160455
2743,PF3D7_1013900,0.0003864941532123894
1625,PF3D7_0703700,0.0003862611282115475
3144,PF3D7_1115100,0.00038577611546841933
5039,PF3D7_1429900,0.0003853429902659979
1068,PF3D7_0511700,0.0003850989781544603
2320,PF3D7_0909200,0.0003841702045919741
382,PF3D7_0214200,0.00038335452198138577
803,PF3D7_0409900,0.0003827981852538725
1826,PF3D7_0724600,0.0003824172255409263
2558,PF3D7_0933100,0.0003824151932407006
3118,PF3D7_1112400,0.00038180932894923123
892,PF3D7_0419400,0.0003811903479171332
348,PF3D7_0210800,0.000378996545986005
1551,PF3D7_0627900,0.0003778118137298543
1571,PF3D7_0629900,0.0003775131038057838
5089,PF3D7_1434900,0.00037747341067965827
55,MAL4.1064246.1064397.....r,0.0003760203400930494
306,PF3D7_0206500,0.000375598374619924
2218,PF3D7_0832300,0.00037520574966007304
2225,PF3D7_0833000,0.0003746146156539089
4029,PF3D7_1254800,0.00037433814237722464
2089,PF3D7_0819300,0.0003736274551675941
4709,PF3D7_1368600,0.00037317224183492455
3141,PF3D7_1114800,0.00037275217681948235
2755,PF3D7_1015100,0.00037231903037681394
3594,PF3D7_1210200,0.000370854082247194
2252,PF3D7_0902400,0.00036964755253619553
1302,PF3D7_0603200,0.0003692237922840347
3580,PF3D7_1208900,0.0003691732652751898
3902,PF3D7_1241800,0.00036907014994308273
4010,PF3D7_1252700,0.0003685774591711875
574,PF3D7_0310700,0.00036823944931398383
4384,PF3D7_1335600,0.0003681315625416102
1099,PF3D7_0514800,0.0003681145560876509
2846,PF3D7_1024200,0.00036778279463382444
868,PF3D7_0417000,0.0003676872432810845
3723,PF3D7_1223400,0.00036756238890353144
4781,PF3D7_1403500,0.00036610057960617334
2099,PF3D7_0820300,0.00036511963974036654
4557,PF3D7_1353000,0.000364916770265407
3152,PF3D7_1115900,0.00036388920884766583
5255,PF3D7_1451500,0.00036336288288148845
1747,PF3D7_0716700,0.000362836353704119
3549,PF3D7_1205800,0.0003619556562436326
3595,PF3D7_1210300,0.0003614038520141793
4202,PF3D7_1317300,0.0003607265887574716
2975,PF3D7_1037400,0.0003596063548031796
3840,PF3D7_1235300,0.0003590119021628567
635,PF3D7_0316900,0.0003587961256733038
3746,PF3D7_1225700,0.0003572576352347697
4475,PF3D7_1344800,0.0003560537028188598
5201,PF3D7_1446100,0.0003559290443334484
1869,PF3D7_0729300,0.00035574021965344876
3067,PF3D7_1107300,0.00035533106237452657
1725,PF3D7_0714400,0.00035524500974920445
3338,PF3D7_1134600,0.0003551446251846246
3051,PF3D7_1105700,0.0003549176769313831
3849,PF3D7_1236200,0.0003545456024769901
3268,PF3D7_1127500,0.00035426766301701603
3433,PF3D7_1144100,0.0003539215571168714
4449,PF3D7_1342200,0.0003532503310326808
947,PF3D7_0425200,0.00035290298278248
3419,PF3D7_1142700,0.00035245769549646324
4354,PF3D7_1332500,0.000352194408673065
3907,PF3D7_1242300,0.00035150794549066025
3517,PF3D7_1202500,0.00035121446243920686
5037,PF3D7_1429700,0.00035118387348561113
5107,PF3D7_1436700,0.0003507800435922317
3704,PF3D7_1221500,0.0003495781008537571
2990,PF3D7_1038900,0.0003495676458647973
2327,PF3D7_0909900,0.0003494375989328691
4412,PF3D7_1338400,0.00034937972837834893
688,PF3D7_0322200,0.0003493500528301196
1525,PF3D7_0625300,0.0003493138382839833
2983,PF3D7_1038200,0.00034918383347993506
2964,PF3D7_1036300,0.00034898914067341125
4172,PF3D7_1314300,0.00034736602931149783
3905,PF3D7_1242100,0.00034531075226924276
1470,PF3D7_0619900,0.0003448392871138806
3515,PF3D7_1202300,0.0003444627949927944
650,PF3D7_0318400,0.0003440822348166131
5511,PF3D7_1477100,0.00034388574223997927
2420,PF3D7_0919300,0.0003437765099520835
51,MAL3.398132.398250.bcgk.vy,0.00034377534815684943
5503,PF3D7_1476300,0.0003435641079573302
3182,PF3D7_1118900,0.0003435576393529415
4778,PF3D7_1403200,0.00034353758093146687
3407,PF3D7_1141500,0.00034338632602227585
4648,PF3D7_1362500,0.00034193805859847163
4655,PF3D7_1363200,0.0003410415597677258
3883,PF3D7_1239600,0.00034017237047510044
1349,PF3D7_0607900,0.000340044490841912
2843,PF3D7_1023900,0.0003398690580658003
3198,PF3D7_1120500,0.0003393171858850284
1819,PF3D7_0723900,0.0003381847993677782
3387,PF3D7_1139500.1,0.00033764994538095335
902,PF3D7_0420400,0.0003375718419034261
4520,PF3D7_1349300,0.00033653571043369094
5355,PF3D7_1461500,0.0003362844312079739
1133,PF3D7_0518200,0.00033587891422972644
3472,PF3D7_1148100,0.0003358381686067215
3896,PF3D7_1241200,0.0003355264508719482
1080,PF3D7_0512900,0.00033540183373492396
4972,PF3D7_1422900,0.00033533930438133257
3059,PF3D7_1106500,0.00033492358615971765
3826,PF3D7_1233900,0.0003341991144863234
2627,PF3D7_1002200,0.0003338538370195746
4133,PF3D7_1310400,0.0003336896225787115
2065,PF3D7_0816800,0.000333673654558441
775,PF3D7_0407100,0.00033358988598884524
630,PF3D7_0316400,0.00033318859084649336
2144,PF3D7_0824800,0.00033311984139720575
1504,PF3D7_0623300,0.0003326216283465521
2639,PF3D7_1003400,0.0003326186710352606
4241,PF3D7_1321200,0.00033256591174666655
1250,PF3D7_0529900,0.0003321344365133329
1172,PF3D7_0522100,0.000332042588173468
5014,PF3D7_1427400.2,0.0003317296641744592
4795,PF3D7_1404800,0.0003314496176406424
2248,PF3D7_0902000,0.0003314032000440895
2879,PF3D7_1027600,0.0003311169297357705
3672,PF3D7_1218300,0.0003308235223631771
2966,PF3D7_1036500,0.00033053523459149425
1986,PF3D7_0808800,0.00032966677180548725
3851,PF3D7_1236400,0.0003292992949297239
1266,PF3D7_0531500,0.00032916958286792556
383,PF3D7_0214300,0.000328509250495515
4142,PF3D7_1311300,0.00032624783422630755
3593,PF3D7_1210100,0.00032620441371236745
2769,PF3D7_1016500,0.000326171381676617
2499,PF3D7_0927200,0.00032573187694621096
1220,PF3D7_0526900,0.00032573032159605294
4226,PF3D7_1319700,0.0003256137779385542
1567,PF3D7_0629500,0.0003255304697777149
5130,PF3D7_1439000,0.00032534148684674146
4680,PF3D7_1365700,0.00032517097789462786
2149,PF3D7_0825300,0.0003247844475082727
2629,PF3D7_1002400.1,0.00032463825124107566
2821,PF3D7_1021700,0.00032432340205631484
2285,PF3D7_0905700.1,0.00032394705395918304
1687,PF3D7_0710200,0.0003237520142380965
4316,PF3D7_1328700,0.0003235621096560022
2427,PF3D7_0920000,0.0003234846937136591
3671,PF3D7_1218200,0.00032335670246023545
3596,PF3D7_1210400,0.0003226772712582117
1344,PF3D7_0607400,0.00032265702290846246
1699,PF3D7_0711400,0.0003225372507067426
1934,PF3D7_0803300,0.0003222776672364731
1339,PF3D7_0606900,0.00032206951661712405
1364,PF3D7_0609300,0.00032184285883536976
3436,PF3D7_1144400,0.0003217414484522153
244,PF3D7_0200200,0.0003217038461524038
4165,PF3D7_1313600,0.00032128007173052377
1860,PF3D7_0728400.1,0.00032123153709642213
4792,PF3D7_1404600.1,0.00032093236229368194
2554,PF3D7_0932700,0.0003205910436835573
48,MAL2.34632.34847.bc..r...c,0.00032009938750143086
693,PF3D7_0322700,0.00031968879256298697
4199,PF3D7_1317000,0.0003194682970738283
23,MAL12.1715356.1715487.b..k,0.0003191683997451333
916,PF3D7_0422100,0.0003191661174350262
4919,PF3D7_1417200,0.0003190889810770072
2191,PF3D7_0829500,0.0003190577073062616
4084,PF3D7_1305500,0.0003183725782237945
2189,PF3D7_0829300,0.0003177172059083546
354,PF3D7_0211400,0.0003173581668484125
1543,PF3D7_0627100,0.000317169587706367
4048,PF3D7_1301900,0.000316748649770967
1936,PF3D7_0803500,0.00031648036785216236
3774,PF3D7_1228500,0.0003158103808062942
1984,PF3D7_0808600,0.00031561286850286424
4543,PF3D7_1351600,0.00031521342555349674
3408,PF3D7_1141600,0.0003150345744860552
5290,PF3D7_1455000,0.0003146750134300603
5441,PF3D7_1470100,0.00031362716716610753
3564,PF3D7_1207300,0.0003133173933132636
365,PF3D7_0212500,0.0003129679646052247
1616,PF3D7_0702800,0.00031283528801109574
4362,PF3D7_1333300,0.0003120835228709066
4599,PF3D7_1357500,0.0003117602860967548
3762,PF3D7_1227300,0.0003112224180329263
2522,PF3D7_0929500,0.00031101047898116345
2805,PF3D7_1020100,0.0003109035307652787
3,MAL1.59416.59687....kr...can,0.0003106768416303375
3192,PF3D7_1119900,0.00031050826595185134
889,PF3D7_0419100,0.00031023925019973205
1301,PF3D7_0603100,0.00031009953729838096
4173,PF3D7_1314400,0.000309813515370702
3855,PF3D7_1236800,0.0003095962446718944
25,MAL12.354467.354531.......,0.00030867269821498216
5278,PF3D7_1453800,0.00030859439076690986
