,Features,Importances
4228,PF3D7_1372000,0.0054459326578913825
1697,PF3D7_0805000,0.003753424191670759
3485,PF3D7_1245300,0.0035948878979888436
3494,PF3D7_1246300,0.003538815487867753
2705,PF3D7_1107700,0.003423501187713
4492,PF3D7_1429900,0.003347755653345595
2635,PF3D7_1038700,0.0032499758467029413
1302,PF3D7_0624800,0.0031968833895180807
4607,PF3D7_1442000,0.003035629286236546
3840,PF3D7_1328400,0.002926270733491828
4827,PF3D7_1466400,0.0027140571093874403
4229,PF3D7_1372100,0.0026044896104793313
2275,PF3D7_0935400,0.0024799947233610157
2933,PF3D7_1133600,0.002319948339371389
4296,PF3D7_1406700,0.00226503560822329
2898,PF3D7_1129800,0.002184953789157068
4691,PF3D7_1451300,0.0021794532865305346
985,PF3D7_0523000,0.002011622022219152
2891,PF3D7_1129100,0.0019293863489038877
2332,PF3D7_1004200,0.0019287106949844339
2390,PF3D7_1010700,0.0018321388000284173
4012,PF3D7_1347200,0.0018269924937941065
3503,PF3D7_1247300,0.0017926740454328866
1497,PF3D7_0715000,0.0017811249670877968
2402,PF3D7_1012000,0.0017183596821773249
3099,PF3D7_1203000,0.0016855642295333247
2287,PF3D7_0936700,0.0016827204094472647
3191,PF3D7_1213200,0.0016303872596163556
905,PF3D7_0514800,0.0016001158455151696
4897,PF3D7_1473700,0.0015803917033283081
4645,PF3D7_1446200,0.0015692734896686088
3868,PF3D7_1331600,0.001526469062232619
4030,PF3D7_1349200,0.0015207823780932113
1308,PF3D7_0625500,0.001441279054087396
1938,PF3D7_0830800,0.0014120709143217466
3476,PF3D7_1244400,0.0014080633500059819
1646,PF3D7_0731600,0.0013913777854767067
2541,PF3D7_1027900,0.0013822333620530623
4797,PF3D7_1462900,0.001382069503639728
2081,PF3D7_0914200,0.0013762013663073008
3546,PF3D7_1251700,0.0013746648376240012
2042,PF3D7_0910100,0.0013658378541621626
3461,PF3D7_1242600,0.0013329076108987072
2932,PF3D7_1133500,0.0013094300041255422
2934,PF3D7_1133700,0.0012987374356477205
2767,PF3D7_1115600,0.001273446027842263
2520,PF3D7_1024800,0.001270791112397487
3161,PF3D7_1209700,0.0012584597954893092
4409,PF3D7_1419600,0.0012531350282563602
2657,PF3D7_1102500,0.0012342501314466198
140,PF3D7_0202000,0.0011744649178690727
1012,PF3D7_0525700,0.0011492408419011715
3743,PF3D7_1318000,0.0011480021083038214
1276,PF3D7_0622000,0.0011369338695677886
638,PF3D7_0410900,0.001136558699305771
4726,PF3D7_1455100,0.0011227774083790415
1254,PF3D7_0619800,0.00110785730549959
335,PF3D7_0302700,0.0011069965138836113
1471,PF3D7_0711700,0.0010927017261094384
3587,PF3D7_1301700,0.0010903609385853575
1607,PF3D7_0727100,0.0010894052855210388
4312,PF3D7_1408300,0.0010847196841236944
406,PF3D7_0310200,0.0010831985520773444
1340,PF3D7_0628700,0.0010567964024557413
2712,PF3D7_1108500,0.0010471737874819913
2904,PF3D7_1130500,0.001043844246228329
2413,PF3D7_1013100,0.001043014479088507
3362,PF3D7_1231600,0.0010399362359330218
1179,PF3D7_0611600,0.0010186410979362596
2094,PF3D7_0915500,0.001014688455107938
4614,PF3D7_1442800,0.0010124357553862131
3314,PF3D7_1226400,0.0010103165893996533
759,PF3D7_0424700,0.0010081156651899105
1913,PF3D7_0827800,0.0010045925876863116
3288,PF3D7_1223800,0.0009980380694885247
1067,PF3D7_0532200,0.0009928454509576265
1577,PF3D7_0723500,0.0009871744138043998
1448,PF3D7_0709300,0.0009830454087739109
1457,PF3D7_0710200,0.0009791937238695406
791,PF3D7_0502600,0.0009738168066938527
1367,PF3D7_0632400,0.0009692039808835077
4719,PF3D7_1454400,0.0009473226722505315
789,PF3D7_0502400,0.0009458546379110695
4344,PF3D7_1411900,0.0009381838041475084
3550,PF3D7_1252200,0.0009310466280582229
983,PF3D7_0522800,0.0009171782633154559
3980,PF3D7_1343700,0.000916068795470994
4838,PF3D7_1467600,0.0009143416665355784
4129,PF3D7_1359800,0.0009069806068973578
284,PF3D7_0218600,0.0008888539101995804
3007,PF3D7_1142200,0.0008795096609956274
4066,PF3D7_1353000,0.0008650899911192686
2799,PF3D7_1119100,0.0008629097289189217
2624,PF3D7_1037200,0.0008623366908981411
1336,PF3D7_0628300,0.0008473014425142172
2147,PF3D7_0921200,0.0008468358110549725
1705,PF3D7_0806000,0.0008451054955003598
909,PF3D7_0515200,0.0008448319906626595
1982,PF3D7_0903400,0.0008444295368045145
2158,PF3D7_0922400,0.0008423734017667531
3711,PF3D7_1314700,0.0008367240446179111
3473,PF3D7_1244000,0.0008361371914260632
1868,PF3D7_0823200,0.0008337751652918965
4313,PF3D7_1408400,0.000830107783414949
1380,PF3D7_0701900,0.0008254012037769964
3026,PF3D7_1144200,0.0008177698322557889
3514,PF3D7_1248500,0.0008161020886064355
3183,PF3D7_1212100,0.0008031827214034561
2327,PF3D7_1003700,0.0008003657955722263
987,PF3D7_0523200,0.0007961455061114497
2064,PF3D7_0912500,0.0007935841798187654
4758,PF3D7_1458500,0.000793550496611819
3717,PF3D7_1315300,0.0007908275734050951
4281,PF3D7_1405200,0.0007785855029685599
4346,PF3D7_1412100,0.0007683074501114755
2565,PF3D7_1030600,0.0007670987170368271
575,PF3D7_0404400,0.0007644572170073836
2215,PF3D7_0928600,0.0007628549719663236
4195,PF3D7_1366900,0.000760021033655099
580,PF3D7_0404900,0.0007570011189643881
3238,PF3D7_1218300,0.0007491755303237694
4476,PF3D7_1428200,0.0007469536506751309
992,PF3D7_0523700,0.0007442615629143076
4892,PF3D7_1473200,0.0007408733939296559
2693,PF3D7_1106400,0.0007307324451494661
1513,PF3D7_0716700,0.0007268982818482053
398,PF3D7_0309300,0.0007229528528003393
4350,PF3D7_1412500,0.0007197933394520365
3977,PF3D7_1343400,0.0007183993492571837
1918,PF3D7_0828300,0.0007062186455856867
4182,PF3D7_1365600,0.0007036279890806743
4582,PF3D7_1439300,0.0007033194936060461
2544,PF3D7_1028200,0.0006947072730796435
517,PF3D7_0322000,0.000690031381385071
1675,PF3D7_0802400,0.0006887417831312422
145,PF3D7_0202500,0.0006884742088806935
3976,PF3D7_1343300,0.0006884229585418004
3636,PF3D7_1307100,0.0006864003674195063
3693,PF3D7_1312900,0.0006861848576560528
4356,PF3D7_1413200,0.0006793075104313887
3112,PF3D7_1204500,0.000679302255342117
1285,PF3D7_0623000,0.0006735387732191702
4414,PF3D7_1420200,0.0006672267935845663
3847,PF3D7_1329200,0.0006598030225123889
3337,PF3D7_1228800,0.0006520236877892106
2824,PF3D7_1121700,0.0006513414383649848
244,PF3D7_0214300,0.0006485553334921507
3187,PF3D7_1212500,0.0006463091396485568
2194,PF3D7_0926400,0.0006416785252216352
1832,PF3D7_0819600,0.0006401447534212009
645,PF3D7_0411700,0.000625539666749744
139,PF3D7_0201900,0.0006238739378844295
4497,PF3D7_1430400,0.0006220164828745059
639,PF3D7_0411000,0.0006218020595597421
3301,PF3D7_1225100,0.0006187895701198179
