,Feature,W,Scaled
1283,PF3D7_0600700,1.1547685861587524,0.28118896
375,PF3D7_0213500,1.154752254486084,0.27456665
3476,PF3D7_1148800,1.1547521352767944,0.27453613
2836,PF3D7_1023200,1.1547492742538452,0.27337646
51,MAL3.398132.398250.bcgk.vy,1.1547465324401855,0.27227783
839,PF3D7_0414100,1.1547455787658691,0.2718811
5508,PF3D7_1476800,1.154740810394287,0.2699585
2404,PF3D7_0917700,1.1547397375106812,0.26953125
5055,PF3D7_1431500,1.1547307968139648,0.26589966
848,PF3D7_0415000,1.1547291278839111,0.26522827
1351,PF3D7_0608100,1.1547287702560425,0.26507568
2068,PF3D7_0817100,1.1547279357910156,0.26474
2616,PF3D7_1001100.1,1.1547276973724365,0.26464844
1307,PF3D7_0603700,1.1547235250473022,0.26296997
2952,PF3D7_1034900,1.154718279838562,0.26083374
2232,PF3D7_0900200,1.154714822769165,0.25946045
5234,PF3D7_1449400,1.1547069549560547,0.2562561
1748,PF3D7_0716800,1.1547058820724487,0.25582886
1439,PF3D7_0616800,1.1547044515609741,0.25524902
3642,PF3D7_1215200,1.154699444770813,0.25323486
957,PF3D7_0500400,1.1546989679336548,0.25305176
70,MAL7.1449277.1449453..c.kr,1.1546987295150757,0.2529602
4070,PF3D7_1304100,1.154698133468628,0.25271606
250,PF3D7_0200900,1.154695749282837,0.2517395
3646,PF3D7_1215600,1.154694676399231,0.25131226
5069,PF3D7_1432900,1.154692530632019,0.25042725
2240,PF3D7_0901200,1.1546911001205444,0.24984741
5086,PF3D7_1434600,1.1546907424926758,0.24972534
1545,PF3D7_0627300,1.1546895503997803,0.24923706
103,PF3D7_0100600,1.1546876430511475,0.24847412
4110,PF3D7_1308100,1.1546860933303833,0.24783325
1838,PF3D7_0726200,1.1546859741210938,0.24780273
5492,PF3D7_1475200,1.1546852588653564,0.24749756
33,MAL13.2801236.2801354...gk,1.1546849012374878,0.24734497
5481,PF3D7_1474100,1.154682993888855,0.24658203
2770,PF3D7_1016600,1.1546754837036133,0.24356079
127,PF3D7_0103400,1.1546730995178223,0.24258423
646,PF3D7_0318000,1.154672622680664,0.24240112
3189,PF3D7_1119600,1.1546725034713745,0.24234009
1603,PF3D7_0701100,1.1546663045883179,0.23983765
473,PF3D7_0300500,1.1546601057052612,0.2373352
1717,PF3D7_0713600,1.1546578407287598,0.23641968
1163,PF3D7_0521200,1.1546553373336792,0.2354126
3597,PF3D7_1210500,1.154654860496521,0.23522949
996,PF3D7_0504400,1.1546525955200195,0.23431396
686,PF3D7_0322000,1.1546525955200195,0.23431396
4241,PF3D7_1321200,1.1546522378921509,0.23416138
5178,PF3D7_1443800,1.1546522378921509,0.23416138
3420,PF3D7_1142800,1.1546510457992554,0.2336731
124,PF3D7_0103100,1.154650092124939,0.23327637
1365,PF3D7_0609400,1.1546484231948853,0.23260498
4346,PF3D7_1331700,1.1546481847763062,0.23251343
2159,PF3D7_0826300,1.1546461582183838,0.23168945
2793,PF3D7_1018900,1.154642105102539,0.23007202
1302,PF3D7_0603200,1.1546392440795898,0.22891235
2271,PF3D7_0904300,1.1546385288238525,0.22860718
4797,PF3D7_1405000,1.1546365022659302,0.2277832
5331,PF3D7_1459100,1.1546361446380615,0.22766113
1665,PF3D7_0708000,1.154636025428772,0.2276001
1070,PF3D7_0511900,1.154634952545166,0.22717285
2465,PF3D7_0923800.1,1.15463387966156,0.2267456
3395,PF3D7_1140300,1.1546330451965332,0.22640991
274,PF3D7_0203300,1.1546319723129272,0.22595215
2923,PF3D7_1032000,1.1546286344528198,0.22460938
1993,PF3D7_0809600,1.1546285152435303,0.22457886
5241,PF3D7_1450100,1.1546283960342407,0.22451782
3591,PF3D7_1209900,1.1546276807785034,0.22424316
1867,PF3D7_0729100,1.1546274423599243,0.2241211
18,MAL12.1252815.1253072.bcg.,1.154626727104187,0.22384644
3044,PF3D7_1105000,1.1546260118484497,0.22357178
3016,PF3D7_1101200,1.1546257734298706,0.2234497
1888,PF3D7_0731400,1.154624581336975,0.22299194
5046,PF3D7_1430600,1.1546242237091064,0.22283936
3058,PF3D7_1106400,1.1546229124069214,0.22229004
2599,PF3D7_0937200,1.1546202898025513,0.22125244
2899,PF3D7_1029600,1.1546201705932617,0.2211914
4918,PF3D7_1417100,1.1546196937561035,0.2210083
2335,PF3D7_0910700,1.1546190977096558,0.22076416
4147,PF3D7_1311800,1.1546179056167603,0.22027588
947,PF3D7_0425200,1.1546169519424438,0.21990967
4726,PF3D7_1370400,1.1546169519424438,0.21990967
5333,PF3D7_1459300,1.1546152830123901,0.21920776
193,PF3D7_0110000,1.154615044593811,0.21911621
2233,PF3D7_0900300,1.1546143293380737,0.21884155
2154,PF3D7_0825800,1.154613733291626,0.21859741
3595,PF3D7_1210300,1.1546128988265991,0.21826172
490,PF3D7_0302400,1.1546111106872559,0.2175293
269,PF3D7_0202800,1.154610514640808,0.21728516
690,PF3D7_0322400,1.154610276222229,0.2171936
3320,PF3D7_1132800,1.1546094417572021,0.21685791
1614,PF3D7_0702600,1.1546087265014648,0.21658325
1876,PF3D7_0730000,1.1546070575714111,0.21588135
4732,PF3D7_1371700,1.154606819152832,0.2157898
2450,PF3D7_0922300,1.1546066999435425,0.21575928
3137,PF3D7_1114400,1.154606580734253,0.21569824
3821,PF3D7_1233300,1.1546064615249634,0.21566772
4900,PF3D7_1415300,1.1546064615249634,0.21566772
1359,PF3D7_0608800,1.1546059846878052,0.2154541
5004,PF3D7_1426500,1.1546050310134888,0.21508789
5519,PF3D7_1477900,1.1546039581298828,0.21463013
1430,PF3D7_0615900,1.1546039581298828,0.21463013
2345,PF3D7_0911700,1.1546037197113037,0.21453857
908,PF3D7_0421200,1.1546037197113037,0.21453857
840,PF3D7_0414200.1,1.1546034812927246,0.21444702
4058,PF3D7_1302900,1.154601812362671,0.21377563
630,PF3D7_0316400,1.1545995473861694,0.2128601
5542,24HR,1.1545974016189575,0.21200562
4569,PF3D7_1354200,1.1545963287353516,0.21154785
1900,PF3D7_0732800,1.154595971107483,0.21142578
4585,PF3D7_1355900,1.1545950174331665,0.21102905
4417,PF3D7_1338900,1.1545943021774292,0.2107544
3706,PF3D7_1221700,1.154593586921692,0.21044922
4231,PF3D7_1320200,1.154592514038086,0.21002197
4660,PF3D7_1363700,1.1545923948287964,0.20996094
2204,PF3D7_0830900,1.15459144115448,0.20959473
1844,PF3D7_0726800,1.1545912027359009,0.20950317
3375,PF3D7_1138300,1.1545912027359009,0.20950317
4904,PF3D7_1415700,1.154590368270874,0.20913696
1305,PF3D7_0603500,1.154590368270874,0.20913696
3319,PF3D7_1132700,1.1545897722244263,0.20892334
2178,PF3D7_0828200,1.154589295387268,0.20870972
126,PF3D7_0103300,1.1545886993408203,0.20846558
106,PF3D7_0100900,1.1545885801315308,0.20843506
2604,PF3D7_0937700,1.154588222503662,0.20828247
1625,PF3D7_0703700,1.1545873880386353,0.20794678
984,PF3D7_0503100,1.1545870304107666,0.20779419
3893,PF3D7_1240700,1.154586911201477,0.20776367
4706,PF3D7_1368300,1.154586911201477,0.20776367
4256,PF3D7_1322700,1.1545864343643188,0.20755005
3474,PF3D7_1148600,1.1545864343643188,0.20755005
3471,PF3D7_1148000,1.154585838317871,0.20730591
5517,PF3D7_1477700,1.1545857191085815,0.20727539
2700,PF3D7_1009600,1.154585361480713,0.2071228
5016,PF3D7_1427600,1.1545851230621338,0.20703125
4423,PF3D7_1339600,1.1545844078063965,0.20675659
1877,PF3D7_0730100,1.1545840501785278,0.206604
3824,PF3D7_1233700,1.1545839309692383,0.20654297
2019,PF3D7_0812200,1.1545839309692383,0.20654297
3677,PF3D7_1218800,1.1545820236206055,0.20578003
4171,PF3D7_1314200,1.1545817852020264,0.20568848
4536,PF3D7_1350900,1.1545816659927368,0.20562744
5400,PF3D7_1466000,1.1545802354812622,0.2050476
717,PF3D7_0400900,1.154579997062683,0.20495605
1303,PF3D7_0603300,1.1545796394348145,0.20480347
4166,PF3D7_1313700,1.1545788049697876,0.20446777
